path,folder,file,ext,codec,container,sample_rate,channels,bit_depth,bitrate_kbps,duration_seconds,peak_dbfs,rms_dbfs,speech_level_dbfs,noise_floor_dbfs,snr_db_est,leading_silence_s,trailing_silence_s,longest_internal_silence_s,silence_ratio,clip_runs,quality_grade,flags,exact_duplicates,likely_duplicates,decode_error,size,sha1
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS1.mp3,dge_linked/PrahladaKrutaNarasimha,NS1.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,21.824,-0.04,-15.84,-18.74,-41.17,29.6,0.65,0.29,0.65,0.134,0,A,[],[],[],,262732,99f28bbae757b92ef5a3d00f53a4e6e94538c96c
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS10.mp3,dge_linked/PrahladaKrutaNarasimha,NS10.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,17.579,1.42,-14.66,-16.03,-32.47,22.2,0.34,0.25,0.56,0.237,9,A,[],[],[],,211636,92fe2e79974b68cab95d71b9a88a2fe7f73f8823
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS11.mp3,dge_linked/PrahladaKrutaNarasimha,NS11.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,17.088,0.7,-14.21,-16.32,-35.89,26.0,0.55,0.18,0.55,0.174,0,A,[],[],[],,205994,49db077d82c92faee5948067810b870a3af6697a
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS2.mp3,dge_linked/PrahladaKrutaNarasimha,NS2.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,18.155,0.05,-15.4,-17.86,-38.42,27.3,0.26,0.35,0.45,0.162,0,A,[],[],[],,218533,92b4410c437c24c38c86136c52e1879622016724
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS3.mp3,dge_linked/PrahladaKrutaNarasimha,NS3.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,17.301,1.48,-13.86,-16.05,-36.68,27.3,0.51,0.19,0.51,0.138,6,B,"[""hot_peaks""]",[],[],,208502,e110c96261cd85220e607606e172290a16d849c2
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS4.mp3,dge_linked/PrahladaKrutaNarasimha,NS4.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,17.173,1.38,-14.35,-17.03,-39.54,29.4,0.36,0.47,0.47,0.15,15,B,"[""hot_peaks""]",[],[],,206934,e486273b47ec017409ea2a77216eb7068d60d6f5
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS5.mp3,dge_linked/PrahladaKrutaNarasimha,NS5.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,16.832,1.2,-13.3,-15.54,-35.47,26.7,0.37,0.22,0.42,0.153,18,B,"[""hot_peaks""]",[],[],,202859,71b9fee604ea2e3a11a61660f6f1ed55167c3ff2
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS6.mp3,dge_linked/PrahladaKrutaNarasimha,NS6.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,18.56,1.33,-15.13,-18.37,-44.82,33.9,0.75,0.3,0.75,0.126,9,A,[],[],[],,223548,c3fe315979dd3abe9b30f08d0da6d383f49c0a07
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS7.mp3,dge_linked/PrahladaKrutaNarasimha,NS7.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,17.515,1.0,-13.7,-16.76,-40.1,30.9,0.63,0.23,0.63,0.136,0,A,[],[],[],,211009,5c967a036393e841eecf11ebaae9bc3e12ae8b95
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS8.mp3,dge_linked/PrahladaKrutaNarasimha,NS8.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,18.347,1.13,-14.03,-16.69,-36.84,27.3,0.41,0.15,0.43,0.166,5,A,[],[],[],,221040,7741ee3c5283f910042a2c9cea0e56a0c1d6d519
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS9.mp3,dge_linked/PrahladaKrutaNarasimha,NS9.mp3,.mp3,mp3 (mp3float),mp3,44100,2,32,96,18.048,0.89,-14.27,-16.55,-37.57,27.6,0.44,0.13,0.44,0.161,3,A,[],[],[],,217279,216f2f572b4210dd4677a2455aa0bdb8454b4f55
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.01.mp3,dge_linked/raghavendra_vijaya,rv01.01.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.304,2.59,-10.77,-10.46,-26.13,18.2,0.16,0.0,0.65,0.225,119,D,"[""clipping""]",[],[],,692160,b3c88fcb2b5116893669183feb667dcb3aa1410d
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.02.mp3,dge_linked/raghavendra_vijaya,rv01.02.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.52,2.76,-11.49,-12.58,-31.86,24.3,0.32,0.44,0.46,0.244,133,D,"[""clipping""]",[],[],,700800,dcb0b8ec19ac5d3be48a89cbeb7878c2a89d4667
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.03.mp3,dge_linked/raghavendra_vijaya,rv01.03.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.944,2.9,-9.35,-9.36,-26.16,19.5,0.38,0.2,0.76,0.185,235,D,"[""clipping""]",[],[],,677760,1cb5e305c1ef09e5f4277ac73a61d0cac86654e9
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.04.mp3,dge_linked/raghavendra_vijaya,rv01.04.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.088,2.72,-9.53,-9.45,-26.53,19.4,0.29,0.0,0.66,0.182,424,D,"[""clipping""]",[],[],,683520,f32020b11f95c8e2883b08b835d3f1fd377e283d
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.05.mp3,dge_linked/raghavendra_vijaya,rv01.05.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.728,2.53,-11.37,-12.55,-32.13,24.2,0.34,0.0,0.57,0.184,73,D,"[""clipping""]",[],[],,669120,c6efaf76ffe91b7870897fbe5a906e10e418d807
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.06.mp3,dge_linked/raghavendra_vijaya,rv01.06.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.496,3.16,-10.08,-10.47,-30.28,22.9,0.36,0.06,0.66,0.163,295,D,"[""clipping""]",[],[],,699840,19539e49095dac89ae5a6ab39e0e57d9dec998a1
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.07.mp3,dge_linked/raghavendra_vijaya,rv01.07.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.16,2.71,-9.47,-9.41,-26.04,19.3,0.27,0.02,0.74,0.187,255,D,"[""clipping""]",[],[],,686400,a8e699d12f3c93c86beec3bc3e422e083918910d
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.08.mp3,dge_linked/raghavendra_vijaya,rv01.08.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.968,3.02,-9.33,-9.43,-26.51,20.1,0.14,0.22,0.87,0.206,436,D,"[""clipping""]",[],[],,678720,a6edba75faf9e88ed5318f00eb0ea0026801c757
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.09.mp3,dge_linked/raghavendra_vijaya,rv01.09.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.728,2.44,-11.02,-10.82,-26.94,18.9,0.03,0.0,0.56,0.224,71,D,"[""clipping""]",[],[],,669120,13e31c51d1900b125cadbdaaaa251d0012b4ff98
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.10.mp3,dge_linked/raghavendra_vijaya,rv01.10.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.52,2.59,-10.37,-10.19,-26.41,18.9,0.63,0.2,0.63,0.224,288,D,"[""clipping""]",[],[],,700800,1b2eade2a2716082953c01ff2720c1c67779b4dc
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.11.mp3,dge_linked/raghavendra_vijaya,rv01.11.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.472,2.9,-9.56,-10.04,-29.49,22.8,0.46,0.23,0.72,0.188,245,D,"[""clipping""]",[],[],,698880,ec6cecaf19ee60a7bc384b454fe3d3c1ecbc495b
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.12.mp3,dge_linked/raghavendra_vijaya,rv01.12.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.208,3.18,-9.55,-9.5,-26.59,19.9,0.16,0.12,0.71,0.208,245,D,"[""clipping""]",[],[],,688320,9b1d88b74c7eaedae1cae43a2843ef0c7a3cf480
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.13.mp3,dge_linked/raghavendra_vijaya,rv01.13.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.328,2.48,-11.85,-12.52,-32.7,23.9,0.35,0.01,0.61,0.156,8,B,"[""hot_peaks""]",[],[],,693120,7b9e5653f4a75924eb83e6082b0063b8f3648006
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.14.mp3,dge_linked/raghavendra_vijaya,rv01.14.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.184,2.86,-10.37,-10.59,-27.16,19.6,0.33,0.12,0.56,0.191,188,D,"[""clipping""]",[],[],,687360,ed88f4a77447eb9463fcbc013ffbb6ddd8316b69
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.15.mp3,dge_linked/raghavendra_vijaya,rv01.15.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.184,2.94,-9.81,-9.93,-29.28,22.1,0.25,0.23,0.82,0.166,196,D,"[""clipping""]",[],[],,687360,c748a44998541afa20cff41807575305f8e10006
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.16.mp3,dge_linked/raghavendra_vijaya,rv01.16.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.376,2.71,-9.74,-10.47,-30.27,23.3,0.32,0.01,0.7,0.157,185,D,"[""clipping""]",[],[],,695040,fcac31ce313221ea99f3cf6ebf386ea8e0a42bb3
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.17.mp3,dge_linked/raghavendra_vijaya,rv01.17.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.8,2.59,-12.16,-12.96,-32.21,23.9,0.26,0.0,0.9,0.223,48,B,"[""hot_peaks""]",[],[],,672000,7718b090dce230c69bedcdeb99e3bd1967dfc8f9
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.18.mp3,dge_linked/raghavendra_vijaya,rv01.18.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.04,3.31,-9.31,-9.13,-24.67,17.8,0.29,0.15,0.49,0.174,273,D,"[""clipping""]",[],[],,681600,99cec91a2956ad70a6894326506989d176c43a39
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.19.mp3,dge_linked/raghavendra_vijaya,rv01.19.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.04,2.79,-9.31,-9.26,-25.58,18.9,0.22,0.0,0.53,0.166,288,D,"[""clipping""]",[],[],,681600,3c84f632fb7fa14afcbc4ed98259a27270b6d266
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.20.mp3,dge_linked/raghavendra_vijaya,rv01.20.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.728,3.31,-9.55,-9.6,-26.68,19.8,0.04,0.21,0.58,0.166,267,D,"[""clipping""]",[],[],,669120,8262c622f3e363dfedb230f3057fd5df948ee69f
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.21.mp3,dge_linked/raghavendra_vijaya,rv01.21.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.488,2.74,-11.29,-11.96,-30.04,22.0,0.04,0.0,0.54,0.203,59,D,"[""clipping""]",[],[],,659520,09288fd567b3362f859a28b1cba6304971e9545c
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.22.mp3,dge_linked/raghavendra_vijaya,rv01.22.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.016,2.96,-9.56,-9.68,-26.3,19.1,0.23,0.09,0.65,0.14,317,D,"[""clipping""]",[],[],,680640,0a1064fd20d0872c14cc73aab5542aefe3d8c4e1
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.23.mp3,dge_linked/raghavendra_vijaya,rv01.23.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.608,3.25,-9.47,-10.04,-29.14,22.9,0.23,0.0,0.68,0.209,212,D,"[""clipping""]",[],[],,664320,2de7a7ad98e58f8dfd1335bf9fa9a7358372db39
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.24.mp3,dge_linked/raghavendra_vijaya,rv01.24.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.968,2.94,-9.88,-10.25,-29.53,22.6,0.3,0.01,0.54,0.178,161,D,"[""clipping""]",[],[],,678720,edb5c50642f1f3d411578f917ca09966dbb4f0b9
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.25.mp3,dge_linked/raghavendra_vijaya,rv01.25.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.016,2.1,-11.4,-12.63,-34.02,25.8,0.29,0.0,0.79,0.156,25,B,"[""hot_peaks""]",[],[],,680640,b660f9e7b733248f88148bb867a031bcdf8aaa4e
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.26.mp3,dge_linked/raghavendra_vijaya,rv01.26.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.896,3.11,-10.21,-10.19,-28.39,21.0,0.15,0.01,0.46,0.219,187,D,"[""clipping""]",[],[],,675840,734c6d8ca6c66cbda33fffca603dbabf6d108477
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.27.mp3,dge_linked/raghavendra_vijaya,rv01.27.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.208,2.91,-8.8,-8.72,-24.91,18.4,0.17,0.15,0.55,0.151,256,D,"[""clipping""]",[],[],,688320,ef4c2554716de1c80d1fb61c517f78b2adedaa63
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.28.mp3,dge_linked/raghavendra_vijaya,rv01.28.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.344,3.04,-9.54,-9.8,-28.17,21.4,0.23,0.0,0.75,0.187,177,D,"[""clipping""]",[],[],,653760,5cae74b3b95cd7b3a722b9857d0940381bdce211
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.29.mp3,dge_linked/raghavendra_vijaya,rv01.29.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.272,2.37,-11.14,-11.63,-30.11,22.0,0.03,0.0,0.6,0.167,82,D,"[""clipping""]",[],[],,650880,ab1aeebd7f345fcfc0dea5932e354cef4dbded88
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.30.mp3,dge_linked/raghavendra_vijaya,rv01.30.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.112,3.23,-9.88,-10.23,-27.71,20.9,0.2,0.14,0.51,0.181,198,D,"[""clipping""]",[],[],,684480,627ce29b570351bfe19e26fc4036af46d3a026e3
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.31.mp3,dge_linked/raghavendra_vijaya,rv01.31.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.656,3.31,-8.97,-9.29,-27.92,21.5,0.15,0.06,0.8,0.169,503,D,"[""clipping""]",[],[],,666240,cbf97d2a184593d17ddfef965d7b05b4695bbd59
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.32.mp3,dge_linked/raghavendra_vijaya,rv01.32.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.232,3.0,-9.48,-9.89,-29.48,22.6,0.13,0.1,0.92,0.185,388,D,"[""clipping""]",[],[],,689280,7e251c1a27b489d20f951817c69b4bb74cae640b
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.33.mp3,dge_linked/raghavendra_vijaya,rv01.33.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.848,2.07,-11.46,-11.6,-29.5,20.8,0.3,0.0,0.59,0.175,12,B,"[""hot_peaks""]",[],[],,673920,e89ee4648af2790ca988070e50dd160663a76b13
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.34.mp3,dge_linked/raghavendra_vijaya,rv01.34.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.232,2.52,-9.85,-9.89,-27.76,20.7,0.23,0.03,0.57,0.205,297,D,"[""clipping""]",[],[],,689280,2c1f64a693969d506b7ba53608c2c97e8b93c2f8
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.35.mp3,dge_linked/raghavendra_vijaya,rv01.35.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.376,2.71,-10.56,-12.51,-35.58,28.2,0.23,0.19,1.06,0.151,119,D,"[""clipping""]",[],[],,695040,2c559998cc36ab24196b36b0b68e565a6cdfed34
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.36.mp3,dge_linked/raghavendra_vijaya,rv01.36.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.112,3.22,-10.01,-10.76,-30.37,23.4,0.2,0.01,0.56,0.181,184,D,"[""clipping""]",[],[],,684480,ba33c0e23101dd1642d0ea90d391f44c34d5efdb
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.37.mp3,dge_linked/raghavendra_vijaya,rv01.37.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.752,1.66,-11.25,-11.0,-26.79,18.2,0.12,0.0,0.48,0.188,9,B,"[""hot_peaks""]",[],[],,670080,c87931539314b8a13680548d8613d9c043f9fdd9
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.38.mp3,dge_linked/raghavendra_vijaya,rv01.38.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,16.848,2.71,-9.5,-9.11,-23.9,17.3,0.17,0.18,0.55,0.227,216,D,"[""clipping""]",[],[],,673920,95bafa2bca178703e59ca682db5ef6c09bf23edd
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.39.mp3,dge_linked/raghavendra_vijaya,rv01.39.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.304,3.05,-9.58,-9.54,-27.01,20.3,0.17,0.12,0.66,0.211,237,D,"[""clipping""]",[],[],,692160,832fba7d70b5ec866f4b1451998ed8d9c588f0d8
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.40.mp3,dge_linked/raghavendra_vijaya,rv01.40.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,46.872,3.08,-9.69,-10.1,-30.01,23.3,0.44,0.49,1.01,0.183,799,D,"[""clipping""]",[],[],,1874880,088dbca01f67f66399d377941f9d42e3cc6c4b47
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.41.mp3,dge_linked/raghavendra_vijaya,rv01.41.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.696,3.06,-9.09,-7.76,-15.41,8.6,0.37,0.04,1.01,0.427,256,D,"[""clipping"", ""noisy_low_snr""]",[],[],,747840,87f420ea60c47a7c3da6b1757da851b983d2094f
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.42.mp3,dge_linked/raghavendra_vijaya,rv01.42.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,39.624,3.02,-9.35,-9.52,-28.46,22.0,0.04,0.39,1.21,0.191,808,D,"[""clipping""]",[],[],,1584960,02dcee47bda7ecd2b5119b15c0de05fd5cc09be5
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.01.mp3,dge_linked/raghavendra_vijaya,rv02.01.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.216,3.27,-9.55,-9.98,-28.37,21.8,0.42,1.05,1.05,0.187,585,D,"[""clipping""]",[],[],,728640,b427ecefa3cc1aed6d86f6cc0067cb780df2f5fe
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.02.mp3,dge_linked/raghavendra_vijaya,rv02.02.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.192,3.29,-10.52,-11.11,-29.3,22.1,0.29,1.0,1.0,0.195,325,D,"[""clipping""]",[],[],,727680,e50cc9d0bb57e5043d08fed3fec75cb2d8cb8a80
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.03.mp3,dge_linked/raghavendra_vijaya,rv02.03.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.48,3.31,-9.72,-10.79,-31.17,24.5,0.85,1.0,1.0,0.133,577,D,"[""clipping"", ""broadband_noise_floor""]",[],[],,739200,fb938ffd49bd848a4dc1cf0f3793b62ce7b2ab62
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.04.mp3,dge_linked/raghavendra_vijaya,rv02.04.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.552,3.42,-10.17,-10.6,-27.97,21.1,0.52,1.13,1.13,0.199,355,D,"[""clipping""]",[],[],,742080,8c3cb840ff43cef291b4a0ac8e45d2f5e477cc20
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.05.mp3,dge_linked/raghavendra_vijaya,rv02.05.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.36,3.3,-9.96,-10.28,-28.71,21.7,0.63,0.86,0.86,0.191,385,D,"[""clipping""]",[],[],,734400,2d0a982e6b0e19813ff85cd4d64ac393a0154d75
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.06.mp3,dge_linked/raghavendra_vijaya,rv02.06.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.048,3.29,-10.14,-10.78,-28.71,21.6,0.46,0.68,0.68,0.179,385,D,"[""clipping""]",[],[],,721920,cd18258bb9f83daed6b3d235c4c9d2aec349055e
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.07.mp3,dge_linked/raghavendra_vijaya,rv02.07.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.912,3.16,-9.89,-10.61,-30.32,23.6,0.62,1.22,1.22,0.181,444,D,"[""clipping""]",[],[],,756480,9227a5f770284cb7a730467d5e4949263df2735f
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.08.mp3,dge_linked/raghavendra_vijaya,rv02.08.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,19.92,3.33,-10.5,-14.39,-83.98,77.1,0.69,1.59,1.59,0.115,354,D,"[""clipping""]",[],[],,796800,631e9e939df8292f3732d5eea6af66263e91b1a7
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.09.mp3,dge_linked/raghavendra_vijaya,rv02.09.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.168,3.55,-9.87,-9.96,-27.2,20.2,0.85,0.62,0.85,0.165,370,D,"[""clipping""]",[],[],,726720,66ee6becc3bdcdceafb2e1dccc1ea6c145e8e711
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.10.mp3,dge_linked/raghavendra_vijaya,rv02.10.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.912,3.33,-9.76,-11.69,-36.9,30.1,0.82,1.19,1.19,0.123,530,D,"[""clipping""]",[],[],,756480,10b74c8f18fc377ce6e6866ab86dd60b955730d5
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.11.mp3,dge_linked/raghavendra_vijaya,rv02.11.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.744,3.43,-9.74,-11.01,-33.63,26.9,0.97,1.02,1.02,0.132,455,D,"[""clipping""]",[],[],,749760,f4b798f227f354371ed1ae5a11fd4f5aec7dcecd
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.12.mp3,dge_linked/raghavendra_vijaya,rv02.12.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.96,3.58,-10.42,-12.46,-35.48,28.5,0.78,1.31,1.31,0.135,321,D,"[""clipping""]",[],[],,758400,4c120f5ac5191ff869a642447bfe9bb474f83c4d
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.13.mp3,dge_linked/raghavendra_vijaya,rv02.13.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.672,3.48,-9.84,-11.15,-32.35,25.5,0.96,0.92,0.96,0.141,372,D,"[""clipping""]",[],[],,746880,85bc05253a6a9ee6434cfcae39aa0e3862967026
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.14.mp3,dge_linked/raghavendra_vijaya,rv02.14.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.624,3.25,-10.58,-11.25,-30.23,22.7,0.81,0.91,0.91,0.167,326,D,"[""clipping""]",[],[],,744960,6fc76ca2a0348f39430ed3d4696ac38240d11667
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.15.mp3,dge_linked/raghavendra_vijaya,rv02.15.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,17.544,3.33,-9.78,-9.48,-26.01,19.0,0.69,0.0,0.69,0.225,473,D,"[""clipping""]",[],[],,701760,4596ade53b4c579aef67110230bf0e470b0e9edd
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.16.mp3,dge_linked/raghavendra_vijaya,rv02.16.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.312,3.44,-9.74,-10.14,-29.11,22.5,0.63,0.85,0.85,0.177,304,D,"[""clipping""]",[],[],,732480,0a840c6046138799d421a0f74e7ddcb9b1c6475f
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.17.mp3,dge_linked/raghavendra_vijaya,rv02.17.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.264,3.11,-10.28,-10.85,-31.43,24.0,0.71,0.86,0.86,0.16,401,D,"[""clipping""]",[],[],,730560,77c79e3b472ef727953310d192e0e3fbc729fc83
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv02.18.mp3,dge_linked/raghavendra_vijaya,rv02.18.mp3,.mp3,mp3 (mp3float),mp3,48000,2,32,320,18.408,3.24,-9.78,-10.07,-27.67,21.0,0.75,0.78,0.78,0.189,450,D,"[""clipping"", ""broadband_noise_floor""]",[],[],,736320,a183b29fd8ae11b9c27b7e9d19cb33dafeecd2aa
